Variable,TAS_SPD__APL_0.70|0.6|0,DEP_ALL__PVAL_3|3,LTV_30B_17__PVAL_3|5,LTV_30B_18__PVAL_3|5,LTV_30B_19__PVAL_3|5,MAS_SPD__PVAL_3|3,SUP_VID__PVAL_3|5,IRI_pctTD__PVAL_5|3#LAG_2,IRI_BAS_PRC_1500ML__RA_7,IRI_BAS_PRC_750ML__RA_5,HOL_CHR_NEW,HOL_LAB,HOL_MEM,HOL_MOT,HOL_NWY,HOL_THK,HOL_VAT,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_TRD_DESEA,IRI_WBR,IRI_pctAT,IRI_pctFD,IRI_pctTA,IRI_pctTF,SEA_IRI_CORE_1,WBR_TRD,Intercept
TAS_SPD__APL_0.70|0.6|0,1.0,0.279440301929367,0.10856237830497092,0.1814830136503921,0.20934015040342324,0.07469268718441534,0.5761943367403545,0.30981493809155664,-0.3115019747260187,-0.4778130586813024,-0.041904638012271817,-0.0921009634896745,-0.08948192311083676,-0.0829830534110253,0.02255644289524443,-0.0671634499846753,0.22728972492082972,-0.13936919193894937,0.03382206994511004,-0.21767865090168673,-0.46571546759503396,-0.0944084192266166,0.11291623500788756,0.031338346844017255,-0.0008144201585447048,0.3999773747082067,-0.15530609585827312,
DEP_ALL__PVAL_3|3,0.279440301929367,1.0,-0.01753062630890514,0.07239634787027431,0.04434372960943184,0.1756457989588265,0.14546020614901892,0.21940998867488545,-0.5320814806345215,-0.29942442214524817,0.18442954040654636,-0.014888364691935265,-0.08481905617235869,-0.129135906627085,0.1369315375163557,0.04388592390311632,-0.0004894824271660093,0.15677301263380344,0.11474582909587708,-0.04868727210242496,-0.27617461991648956,0.3098860823670235,0.19060409145444487,0.2400275535051231,0.09340122801686515,0.48781345503941176,0.41951714880639984,
LTV_30B_17__PVAL_3|5,0.10856237830497092,-0.01753062630890514,1.0,-0.015510978584712346,-0.01368524104106113,-0.11562349426425089,0.3751405548902931,0.16596106112323236,-0.03500365477113064,-0.11466491687285785,-0.016157437057408616,-0.016157437057368832,-0.013149530288215302,-0.0131492133149034,-0.01615743705740861,-0.016157437057408613,0.046162110343732764,0.07325494384055428,0.12159161276197367,0.10639197296716953,-0.18536753863141667,-0.08725858215146802,0.08815984088128316,0.047713217410050815,0.08298222001200603,0.1210304355016578,0.06125848155558671,
LTV_30B_18__PVAL_3|5,0.1814830136503921,0.07239634787027431,-0.015510978584712346,1.0,-0.015943237943372136,0.03905066256626124,0.19586763354679515,0.08418300079142074,-0.23168929443375064,-0.294568522665608,-0.018823334042010403,-0.01882330545379026,-0.015281721066573177,-0.015217219054390933,-0.0188233340420104,-0.018823334042010403,0.08760781497893423,0.1157896715838651,0.13436226203887416,-0.007822888567826362,-0.2795742239643592,-0.09299051141347214,0.08235748772491319,0.009351281108740886,0.05937710558065136,0.13836532437897153,0.0074154723325140824,
LTV_30B_19__PVAL_3|5,0.20934015040342324,0.04434372960943184,-0.01368524104106113,-0.015943237943372136,1.0,-0.018830968976527286,0.3520349846778845,0.03454312194906488,-0.1049153481449224,-0.1493334444058909,-0.016607711896089953,-0.016607711896089946,-0.013516041847211913,-0.013516041847211915,-0.016607711896089956,-0.016607711896089956,0.057271814466581604,0.15822099483214533,0.1719299168715106,-0.10361154226074613,-0.26979109966457243,0.11110501531795432,0.08805687916724211,0.003753144052499438,0.03179256727068001,0.12488338363971355,-0.10362496188914747,
MAS_SPD__PVAL_3|3,0.07469268718441534,0.1756457989588265,-0.11562349426425089,0.03905066256626124,-0.018830968976527286,1.0,-0.0656554497303276,-0.1813204579904802,-0.22553683742869324,0.1596713804728765,0.11307621289110384,0.01787072440933497,-0.041296785292937135,-0.050815023929785666,0.021445813098764834,0.07545704011018411,-0.036839545583743,-0.0010062219978855362,0.2193173327086741,0.06236665551106833,-0.13580751027716106,0.3787883455604911,0.026537178526441794,-0.06722542409903016,-0.05333635553301887,0.14472288602468425,-0.04557372862389087,
SUP_VID__PVAL_3|5,0.5761943367403545,0.14546020614901892,0.3751405548902931,0.19586763354679515,0.3520349846778845,-0.0656554497303276,1.0,0.2520899974078696,-0.2960862165850922,-0.46728738368987105,-0.05253806731241031,-0.0525380673124103,-0.0427555508441473,-0.04274213219957997,-0.05253806731241033,-0.05253806731241032,0.26744795191270054,0.044305699307041944,0.3354408680027407,-0.07767878939169857,-0.4800612119229136,-0.009614542960235384,0.1833682851025623,0.017354087617289755,0.08693916140643432,0.3404765766050109,-0.1176429760599093,
IRI_pctTD__PVAL_5|3#LAG_2,0.30981493809155664,0.21940998867488545,0.16596106112323236,0.08418300079142074,0.03454312194906488,-0.1813204579904802,0.2520899974078696,1.0,-0.08682840075135882,-0.19362042388201936,-0.0494822314490146,-0.043645584964978654,0.014342517873059898,0.007281689591055894,0.004943637546209606,0.002908031178776722,0.12035857073748002,-0.12989947294694612,0.11848854128956818,0.3528078682931696,-0.20336669105404867,-0.14733793400208034,0.12739962878306757,0.5713596337579198,0.10768706137235134,0.26193055198236076,0.5874890138198158,
IRI_BAS_PRC_1500ML__RA_7,-0.3115019747260187,-0.5320814806345215,-0.03500365477113064,-0.23168929443375064,-0.1049153481449224,-0.22553683742869324,-0.2960862165850922,-0.08682840075135882,1.0,0.6782632534383894,-0.21066004680202888,0.10425634122301253,0.04401828508503467,0.08933995038417668,-0.18345780037539425,-0.1041566871640179,-0.12978824818473708,-0.24471241842289784,-0.30021413238574296,0.16187708684500549,0.5670156593950944,-0.1992812703613627,-0.2793999021218685,-0.15090396558293012,-0.2252058695904981,-0.631034039584462,-0.10628540450570405,
IRI_BAS_PRC_750ML__RA_5,-0.4778130586813024,-0.29942442214524817,-0.11466491687285785,-0.294568522665608,-0.1493334444058909,0.1596713804728765,-0.46728738368987105,-0.19362042388201936,0.6782632534383894,1.0,-0.09817667479784334,0.10920065388752194,0.030313874122896812,0.034461066042260395,-0.12945226921460404,-0.009065565981907813,-0.21391781594673628,-0.1189376058637258,-0.19929275922243847,0.3330755576020298,0.5988166895893967,0.034512803422700376,-0.27775704047079974,-0.0466528071631137,-0.17695664772888736,-0.5861819589572685,0.054938903881079686,
