Variable,Coefficient,Std. Error,T Stat,Pval,Lower 95%,Upper 95%,VIF,Scale
TAS_SPD__APL_0.75|0.6|0,0.02466680988856663,0.3306932705361812,0.07459120607012121,0.9406361507723777,-0.6240872482492474,0.6734208680263807,3.224263119902971,
DEP_ALL__PVAL_3|3,216.62668532057197,707.982262568383,0.30597756013647065,0.76003230980742,-1172.2929173859402,1605.5462880270843,1.8226847236955301,0.00034353192554003687
LTV_30B_17__PVAL_3|5,2.982649765098336e-07,3.134824227785736e-07,0.9514567798288048,0.3428538360545663,-3.1672484049710937e-07,9.132547935167765e-07,1.3712886363530958,5.451570582038569e-05
LTV_30B_18__PVAL_4|5,1900.621543793669,515.8237274938984,3.684633805094107,0.00031603103147509167,888.6785551962422,2912.564532391096,1.2398953926283434,5.394486197477909e-05
LTV_30B_19__PVAL_3|5,3073.5698354204023,754.2639181831962,4.074926244415541,7.32870992016585e-05,1593.8548807287589,4553.284790112046,1.2229176136571493,5.07492998795753e-05
MAS_SPD__PVAL_3|3,24.097231818284012,272.24887293288594,0.0885117780605997,0.9295841804152507,-510.0006071013972,558.1950707379652,1.9525193409579444,0.004906420656554315
SUP_VID__PVAL_3|5,157.6869717121097,625.7191364121725,0.25200918836568625,0.801367806782048,-1069.848830101165,1385.2227735253844,2.0470611365186726,1.1699027997957818e-05
IRI_pctTD__PVAL_5|5#LAG_2,673.718672859138,286.2105745793714,2.353926558616036,0.019830585731586862,112.23076764938446,1235.2065780688915,1.3225717612870898,
IRI_BAS_PRC_1500ML__RA_5,-2.074497166549475,44.11273082706448,-0.047027176229060594,0.9625521052425765,-88.61485250307575,84.4658581699768,3.259742272833543,
IRI_BAS_PRC_750ML__RA_7,-2.0540733206289596,20.42717486621047,-0.10055591799072992,0.9200329409385994,-42.128104973156574,38.01995833189866,3.0739445299758543,
HOL_CHR_NEW,354.4310977927402,273.256167259064,1.2970653191395944,0.19653609499592542,-181.64285113603688,890.5050467215174,1.48740128101831,
HOL_LAB,0.0,239.943595426184,0.0,1.0,-470.72134550703976,470.72134550703976,1.1468497666729067,
HOL_MEM,0.0,302.60923294553896,0.0,1.0,-593.6587931924978,593.6587931924978,1.2240258408425777,
HOL_MOT,0.0,284.5525850754338,0.0,1.0,-558.2352614009291,558.2352614009291,1.0823090946703284,
HOL_NWY,112.00501990064568,249.312624943604,0.44925530717099416,0.6538750328886054,-377.09648771366676,601.1065275149581,1.2381599404386023,
HOL_THK,99.28019647590784,242.79353792934043,0.40890790307936903,0.683171676963088,-377.03216623382366,575.5925591856393,1.1742550951307602,
HOL_VAT,52.644070574950725,246.26450208542138,0.2137704384072787,0.8310070191688326,-430.4776296161797,535.7657707660811,1.2080692656132557,
IRI_BAV_1500ML,3464.0654527213646,1575.0326201319133,2.199361085252469,0.029333324102120643,374.16645854689204,6553.964446895838,2.099691588989536,
IRI_BAV_750ML,1885.537083227082,953.8513598850619,1.9767619594884125,0.04984272548747316,14.271485404758323,3756.8026810494057,2.0368865874426203,
IRI_TRD_DESEA,0.011103539844180964,0.025537097131223024,0.43480039203849763,0.6643120682617721,-0.038995137307847254,0.06120221699620918,1.4879068115953127,
IRI_WBR,0.08466070060720236,3.4454606311474913,0.024571663899409176,0.9804282267572028,-6.674643965577257,6.843965366791661,2.5877858710437533,
IRI_pctAT,4.484304065700799,2.802365407443672,1.600185348345203,0.11159375254002499,-1.0133763906216364,9.981984522023236,2.0991437706845124,
IRI_pctFD,5.976523327052903,4.899946484119979,1.2197119593901598,0.22442676157857777,-3.6361916854926912,15.589238339598499,1.3058139345978723,
IRI_pctTA,0.0,254.79503554316258,0.0,1.0,-499.8569007285254,499.8569007285254,3.5133598855596664,
IRI_pctTF,5.804449564898564,2.1354074393202542,2.7181930052403698,0.007311834864086317,1.615207250440517,9.99369187935661,1.9229579108512769,
SEA_IRI_CORE_1,2009.721854814582,627.703975411846,3.201703244743628,0.0016578461669365017,778.2921958517479,3241.151513777416,3.2960276260840438,
WBR_TRD,-0.33017283211763215,319.9786334341153,-0.0010318589981278105,0.999178022614021,-628.0642559031011,627.4039102388657,3.6690689699601786,
Intercept,507.4062495430279,24926.028819642328,0.020356481700894897,0.9837851803121593,-48392.47708882631,49407.28958791236,,
