Variable,Coefficient,Std. Error,T Stat,Pval,Lower 95%,Upper 95%,VIF,Scale
TAS_SPD__APL_0.70|0.6|0,0.0040619173971787655,0.08633887636409839,0.047046215658972844,0.9625369553341381,-0.16531769025389217,0.1734415250482497,2.489998676981861,
DEP_ALL__PVAL_3|3,44.45674142026826,177.3740243156384,0.25063839867080623,0.8024256197843241,-303.51561948211565,392.42910232265217,1.4706481554966169,0.00034353192554003687
LTV_30B_17__PVAL_3|5,3.7901937888504693e-08,8.472266902605091e-08,0.4473647764431316,0.6552362503257474,-1.2830699420678503e-07,2.041108699837944e-07,1.2875487751831916,5.451570582038569e-05
LTV_30B_18__PVAL_4|5,222.27184297984329,142.9206920358406,1.5552110741536542,0.1219352776061176,-58.10997065604019,502.65365661572673,1.2235862286427794,5.394486197477909e-05
LTV_30B_19__PVAL_3|5,451.9932501973373,215.49674723686755,2.097448133175393,0.037576818142565124,29.2317314680937,874.7547689265809,1.283198718495828,5.07492998795753e-05
MAS_SPD__PVAL_3|3,3.5436924207108853,67.83731018140287,0.05223810335690999,0.9584062347576605,-129.53954269315167,136.62692753457347,1.558340459605509,0.004906420656554315
SUP_VID__PVAL_3|5,23.18914183649362,173.20159398433043,0.1338852680454635,0.8936669787119642,-316.5977452419312,362.9760289149184,2.0162187638099787,1.1699027997957818e-05
IRI_pctTD__PVAL_5|3#LAG_2,66.11951429374655,88.38712270907625,0.7480672779832089,0.45555309023349333,-107.27834303690155,239.51737162439463,2.2053481370845995,
IRI_BAS_PRC_1500ML__RA_7,-0.25455789340779145,2.5392468732950224,-0.10024936767076434,0.9202759029187084,-5.236052409437458,4.726936622621875,2.7911530646001483,
IRI_BAS_PRC_750ML__RA_5,-0.16491571136210592,4.87578327192894,-0.033823429419343846,0.9730614698314597,-9.730227334231325,9.400395911507113,3.0441826981499536,
HOL_CHR_NEW,24.759251137038024,86.48783917944736,0.28627436379427684,0.7750502593827651,-144.9125917651845,194.43109403926056,1.9154033556961645,
HOL_LAB,0.0,68.588692923341,0.0,1.0,-134.55729777699665,134.55729777699665,1.2046342415755567,
HOL_MEM,0.0,81.97382020338168,0.0,1.0,-160.81624047497777,160.81624047497777,1.1546185513520306,
HOL_MOT,0.0,80.60942764421738,0.0,1.0,-158.13957515240952,158.13957515240952,1.1165029023824307,
HOL_NWY,0.0,66.65639966480263,0.0,1.0,-130.76652486239647,130.76652486239647,1.1377159716143406,
HOL_THK,87.40249327647055,81.2035366585347,1.0763385053535637,0.2834483377372243,-71.90260494022658,246.70759149316768,1.6884960124486905,
HOL_VAT,0.0,66.85857093492712,0.0,1.0,-131.16314446012663,131.16314446012663,1.144627905165677,
IRI_BAV_1500ML,240.55394979767905,238.83050582781087,1.0072161802107087,0.3154006741308302,-227.98373653527253,709.0916361306306,4.373209570104645,
IRI_BAV_750ML,204.73452468954628,277.07300368461955,0.7389190645314074,0.4610736180248275,-338.8272939388849,748.2963433179775,4.454067524038054,
IRI_TRD_DESEA,0.009261825578404251,0.0205470587505628,0.45076162436877065,0.6527912876424158,-0.031047394278445738,0.049571045435254237,2.522591416298287,
IRI_WBR,0.011070300126879257,0.4499182652096895,0.024605136050033036,0.9804015709967508,-0.8715793525613996,0.8937199528151581,3.0641134041461955,
IRI_pctAT,0.5897511927819737,0.5418205441602881,1.0884622208188293,0.27808062002798173,-0.47319235075157107,1.6526947363155187,2.6613754919498347,
IRI_pctFD,1.0980783325234649,1.2803487709020314,0.8576400098778137,0.39241544104405435,-1.4137098862318842,3.609866551278814,2.347973230064756,
IRI_pctTA,1.010025738400209,33.149628795004034,0.03046868924675348,0.975732460899782,-64.02291603163208,66.04296750843248,1.59865140802495,
IRI_pctTF,1.3358037940340617,0.8463957678051421,1.5782259846336937,0.11655237892674236,-0.3246554232458969,2.9962630113140203,2.983169113557691,
SEA_IRI_CORE_1,305.2693403127813,86.71597846820092,3.520335533372604,0.00056614888848304,135.1499337538821,475.3887468716805,2.4777972295932957,
WBR_TRD,-0.0479378992872822,60.70315129373272,-0.0007897102253442901,0.9993709179297603,-119.13538010731997,119.03950430874542,1.490718084825391,
Intercept,-85.41996729220837,6111.599766421697,-0.013976695228231745,0.9888665476237295,-12075.156389057069,11904.316454472653,,
