Variable,Coefficient,Std. Error,T Stat,Pval,Lower 95%,Upper 95%,VIF,Scale
TAS_SPD__APL_0.70|0.6|0,0.019582686076046643,0.1641788658222004,0.11927653402877057,0.9052107255514938,-0.30250341289391325,0.3416687850460065,3.6856152273966853,
DEP_ALL__PVAL_3|3,153.58259208059832,329.98401593154233,0.46542433774265046,0.6422808761202486,-493.7800503738354,800.9452345350321,2.08354896114813,0.00034353192554003687
LTV_30B_17__PVAL_3|5,2.3586918362426414e-07,1.4605187581391765e-07,1.6149685329942716,0.10835128495281753,-5.0655386347450265e-08,5.223937535959785e-07,1.566274474022413,5.451570582038569e-05
LTV_30B_18__PVAL_4|5,1381.3195571153813,226.65039580082475,6.094494352126584,8.35420343701896e-09,936.6768106333686,1825.9623035973939,1.259640114539137,5.394486197477909e-05
LTV_30B_19__PVAL_3|5,2179.079745258769,335.732341675145,6.4905267523116645,1.0949962106284398e-09,1520.4400373605367,2837.719453157001,1.2749348647401437,5.07492998795753e-05
MAS_SPD__PVAL_5|3,10.263002920618435,119.07064161183258,0.08619255579453058,0.931424589196438,-223.3297817934509,243.8557876346878,1.5842893714165438,0.004906420656554315
SUP_VID__PVAL_5|5,44.02450253618948,146.3649842885373,0.30078575658097,0.7639809548806658,-243.11432364103368,331.1633287134126,3.0443810890297787,1.1699027997957818e-05
IRI_pctTD__PVAL_5|3#LAG_2,280.96782481191826,192.45623521812885,1.4599050246071315,0.1463400137886365,-96.59281743896844,658.528467062805,2.177933615862977,
IRI_BAS_PRC_1500ML__RA_5,-1.4793059759850946,23.450854032682603,-0.0630811131195239,0.9497831883765875,-47.48519141729713,44.52657946532695,4.500867349446671,
IRI_BAS_PRC_750ML__RA_5,-1.3573634747449004,15.872099393149515,-0.08551883661532172,0.9319592859777421,-32.495248064222444,29.780521114732643,4.537188117595904,
HOL_CHR_NEW,336.3273804502178,141.7161207127893,2.373247156065186,0.018858177741122025,58.30869483589612,614.3460660645394,2.105124671864195,
HOL_LAB,0.0,105.48112891153232,0.0,1.0,-206.932878698623,206.932878698623,1.1662424583196422,
HOL_MEM,0.0,127.75727673210773,0.0,1.0,-250.63422549302337,250.63422549302337,1.148017828409058,
HOL_MOT,41.4346816897231,124.93442621429557,0.3316514346386133,0.7406004796233359,-203.66167565745695,286.53103903690317,1.097846430229586,
HOL_NWY,0.0,105.46104004541225,0.0,1.0,-206.89346836106864,206.89346836106864,1.1657982791972856,
HOL_THK,392.3775220902722,145.47858604792282,2.697149681953997,0.007767723123184518,106.9776319814863,677.7774121990581,2.218387720870366,
HOL_VAT,0.0,109.46907455817589,0.0,1.0,-214.75643046820755,214.75643046820755,1.256094179550959,
IRI_BAV_1500ML,3018.9896843582005,1305.8531417091797,2.311890662074576,0.0221002466670921,457.166990953393,5580.812377763008,2.475468547984324,
IRI_BAV_750ML,1641.6701291066493,742.7883533711247,2.210145220581306,0.02856064053348557,184.46793746332537,3098.8723207499734,2.0383669445737405,
IRI_TRD_DESEA,0.01101134797714668,0.014249193325676387,0.7727699193542936,0.44083535381219074,-0.016942719489162403,0.03896541544345576,3.431747379355631,
IRI_WBR,0.06908957942059375,3.0390491499383065,0.02273394605085485,0.9818917381095591,-5.892917042927768,6.031096201768956,4.264018319584751,
IRI_pctAT,4.1370744653374,2.081371979300707,1.9876670323616836,0.048610007177924346,0.053838916345688936,8.220310014329112,2.8040905861141097,
IRI_pctFD,2.5699096365323095,2.5649003719404564,1.0019530055228085,0.31792790899447865,-2.4619119131399643,7.601731186204583,1.9781615653173505,
IRI_pctTA,0.0,17.55996721914369,0.0,1.0,-34.44914369051258,34.44914369051258,2.6054175032206994,
IRI_pctTF,6.88149508873538,1.690194522741338,4.071421955370106,7.428985075478961e-05,3.5656714740217614,10.197318703449,2.0110528546099657,
SEA_IRI_CORE_1,1424.3862061256318,471.855687495123,3.018690340869006,0.0029691922419236216,498.69971839779396,2350.07269385347,5.775681714469224,
WBR_TRD,-0.23224668413630611,45.35293300903572,-0.005120874632078047,0.9959207358873199,-89.20563066125351,88.74113729298091,1.3132637478847629,
Intercept,448.08194468282386,4554.714362626335,0.09837761690602509,0.9217595548905868,-8487.356691916608,9383.520581282257,,
