Variable,Coefficient,Std. Error,T Stat,Pval,Lower 95%,Upper 95%,VIF,Scale
TAS_SPD__APL_0.70|0.6|0,0.017306268470720625,0.17407331356061365,0.09941942344134475,0.9209337278200063,-0.3241907580724564,0.3588032950138977,1.787387111173537,
DEP_ALL__PVAL_4|4,174.11324051932468,439.91162321095925,0.3957914074842001,0.6928031681243538,-688.9053818958472,1037.1318629344964,1.613359147951768,0.00034353192554003687
LTV_30B_17__PVAL_3|5,1.9862517620022474e-07,2.0913758925553168e-07,0.9497344638391978,0.3437256799069274,-2.1166094640123548e-07,6.089112988016849e-07,1.3854680811389801,5.451570582038569e-05
LTV_30B_18__PVAL_3|5,1856.4540471626153,482.5638126757485,3.8470643641280073,0.00017425490357528349,909.7603594554284,2803.147734869802,1.1362918154463642,5.394486197477909e-05
LTV_30B_19__PVAL_3|5,1925.7694753472254,517.2351780504595,3.723198956818352,0.00027483919915024884,911.0575030479374,2940.4814476465135,1.3054387050331273,5.07492998795753e-05
MAS_SPD__PVAL_5|3,9.06996533418715,175.763047144511,0.051603368748664766,0.9589111780570834,-335.7419805538794,353.8819112222537,1.489220497846124,0.004906420656554315
SUP_VID__PVAL_3|5,98.8000185593917,429.8912184214862,0.22982562640422063,0.8185302857861906,-744.560573739794,942.1606108585773,2.193405499025603,1.1699027997957818e-05
IRI_pctTD__PVAL_3|3#LAG_2,459.6447260672396,318.015628196775,1.445352634628479,0.15037761915730907,-164.23833332913,1083.5277854636092,1.6008067240801231,
IRI_BAS_PRC_1500ML__RA_7,-1.3067055013550029,24.5457446040902,-0.0532355209602099,0.9576128044467112,-49.46054726565425,46.84713626294424,2.479910957991248,
IRI_BAS_PRC_750ML__RA_5,-1.261947140233501,22.678799669699348,-0.055644353255589675,0.9556967919178292,-45.753216332245145,43.22932205177814,3.1825774581886273,
HOL_CHR_NEW,574.2484217646738,200.45374504469464,2.8647427945865274,0.0047526799176022885,180.99826473603196,967.4985787933157,1.8169643108438311,
HOL_LAB,21.978760623347007,154.04371675149764,0.14267872190336076,0.8867292246773516,-280.22420289971024,324.18172414640424,1.0730155734696194,
HOL_MEM,0.0,202.972322279129,0.0,1.0,-398.19110184715464,398.19110184715464,1.2500567230413597,
HOL_MOT,39.351298201504065,186.4200063650544,0.211089458523271,0.8330947386610021,-326.36747028542237,405.0700666884305,1.0544867226073957,
HOL_NWY,0.0,164.04992587769632,0.0,1.0,-321.83314458683185,321.83314458683185,1.216942685969238,
HOL_THK,425.75698457486385,180.75511942800546,2.355435275759602,0.019753091090007238,71.15159128103892,780.3623778686888,1.4774039666571193,
HOL_VAT,95.79891373527138,172.86393079150776,0.5541868294711813,0.5802496683664371,-243.32554569147393,434.9233731620167,1.3512223386534397,
IRI_BAV_1500ML,2535.5364618070284,1846.4528623684707,1.373193171340784,0.17167547875234107,-1086.8347635870682,6157.907687201125,3.4402405115650754,
IRI_BAV_750ML,0.0,2277.2973234922315,0.0,1.0,-4467.601889226604,4467.601889226604,2.079461748314917,
IRI_TRD_DESEA,0.009740874871405195,0.02411384199285064,0.4039536658775987,0.6868035791315836,-0.037565660350164364,0.05704741009297475,2.5477592995084106,
IRI_WBR,0.04572518792934093,3.1289197326331943,0.014613729924883736,0.988359138805862,-6.092589543549834,6.184039919408515,3.182399999228576,
IRI_pctAT,3.692140851508777,1.7740988405661098,2.081135936220231,0.03906604308987295,0.21171374608653792,7.172567956931016,2.4934257539074305,
IRI_pctFD,2.2059862770559504,2.2510823485307214,0.9799669383467001,0.3286295257790298,-2.2101870742911687,6.62215962840307,2.0040309966843335,
IRI_pctTA,4.268662120031645,254.59960446457262,0.016766177343475124,0.9866447147294779,-495.20484191851597,503.74216615857927,3.050613579293418,
IRI_pctTF,9.382838917043763,2.0311752692975764,4.619413725083679,8.038530396175798e-06,5.398079273736184,13.367598560351343,2.162558895932081,
SEA_IRI_CORE_1,1247.7406393529143,457.0842476123792,2.729782629505611,0.007071237105810619,351.0327623870402,2144.4485163187883,4.10663674765511,
WBR_TRD,-0.11042480672391675,376.5419795363499,-0.00029326028099147645,0.9997663892458244,-738.8104802610599,738.589630647612,3.046886829095933,
Intercept,-8.963176435945577,33416.327839214944,-0.00026822745093573846,0.9997863303648227,-65565.11513140114,65547.18877852923,,
