Variable,Coefficient,Std. Error,T Stat,Pval,Lower 95%,Upper 95%,VIF,Scale
TAS_SPD__APL_0.70|0.6|0,0.03368894573367272,0.3163485194497525,0.106493135457913,0.9153288063219178,-0.5869235797227884,0.6543014711901339,2.6359231423482465,
DEP_ALL__PVAL_5|5,217.55773993332565,799.5230620653823,0.2721093990351144,0.7859000308800519,-1350.9466032263815,1786.0620830930327,1.8448002840444604,0.00034353192554003687
LTV_30B_17__PVAL_3|5,4.389597958436944e-07,3.151298809073316e-07,1.3929488202763505,0.16562989292767907,-1.7926200452024573e-07,1.0571815962076346e-06,1.4046185569227874,5.451570582038569e-05
LTV_30B_18__PVAL_3|5,3537.153835295144,752.536969448037,4.700305737656369,5.695652674490992e-06,2060.8268086321355,5013.480861958153,1.2339085052992271,5.394486197477909e-05
LTV_30B_19__PVAL_5|5,2081.611430101983,424.67026876975143,4.9017121828008055,2.373697328189419e-06,1248.4932968295695,2914.729563374396,1.274407217469901,5.07492998795753e-05
MAS_SPD__PVAL_3|5,56.83549635408639,317.0013368345894,0.17929103050989034,0.8579433458979218,-565.0577262479476,678.7287189561205,2.2959788831799806,0.004906420656554315
SUP_VID__PVAL_4|5,115.73371390336033,459.30790429888475,0.2519741393957137,0.8013948488516643,-785.3365327500999,1016.8039605568206,2.809641529860453,1.1699027997957818e-05
IRI_pctTD__PVAL_5|5#LAG_2,1426.8147282409138,503.10828441125034,2.8359992718279474,0.005178503067012853,439.81689588302356,2413.8125605988043,2.2000037623384916,
IRI_BAS_PRC_1500ML__RA_7,-2.748814302147435,45.02888034896795,-0.06104558409723898,0.9514015479031936,-91.08647177074376,85.58884316644888,3.765872856576188,
IRI_BAS_PRC_750ML__RA_7,-1.9983658217205778,38.762546877882556,-0.05155403818062382,0.9589504221499962,-78.04273028674282,74.04599864330166,1.7150535543680714,
HOL_CHR_NEW,783.5825006604704,304.8561492836945,2.5703352302442175,0.011101865691181396,185.5157069957795,1381.6492943251612,1.8765272203685013,
HOL_LAB,62.830238355376856,231.93696188553068,0.27089359903914695,0.7868332758907158,-392.1836934716108,517.8441701823646,1.0861876922824103,
HOL_MEM,0.0,277.1660507800613,0.0,1.0,-543.7443584202688,543.7443584202688,1.0408377802274096,
HOL_MOT,0.0,279.0812528071506,0.0,1.0,-547.5016017570122,547.5016017570122,1.055271740037037,
HOL_NWY,0.0,250.09999345036726,0.0,1.0,-490.64616715088044,490.64616715088044,1.2629678925764272,
HOL_THK,616.7671239949567,287.25678177841866,2.147093343372177,0.033340874226097134,53.22676950211246,1180.3074784878008,1.6661171337534104,
HOL_VAT,331.2779585879972,248.38611600776846,1.3337217229067515,0.18425160094468634,-156.00592379599328,818.5618409719877,1.2457175480590128,
IRI_BAV_1500ML,5644.896847344459,2894.5187449863615,1.9502022079221522,0.052956207819048993,-33.570026569205766,11323.363721258123,2.347142651880066,
IRI_BAV_750ML,3041.7687258896804,2174.1500967531915,1.3990610539871022,0.16379258370138972,-1223.4789339202962,7307.016385699657,2.2272238073351303,
IRI_TRD_DESEA,0.030094593608949224,0.04363067159482781,0.6897577440113661,0.4913779379622969,-0.05550005792577524,0.1156892451436737,3.3726381375900463,
IRI_WBR,0.08347299558819296,7.551838077990169,0.011053334926694866,0.9911951082548784,-14.73172294581141,14.898668936987796,4.191674032559107,
IRI_pctAT,5.7424921063985765,5.062538009490139,1.1343109119642771,0.258415367629867,-4.189194960618166,15.674179173415318,2.5530885408636657,
IRI_pctFD,8.630558903813826,9.386233330570764,0.919491195227832,0.3592674409298481,-9.783353644098023,27.044471451725677,1.429904812479839,
IRI_pctTA,8.282720539903936,68.96347253350433,0.12010300867433793,0.9045570858609766,-127.00981987631106,143.57526095611894,1.5810160363914338,
IRI_pctTF,11.545490747097501,3.6227617538807557,3.1869307261869486,0.0017393288280394665,4.438356738334959,18.652624755860042,1.8388225191941392,
SEA_IRI_CORE_1,2449.2971945526892,944.7393335200331,2.5925640096160474,0.010437723688003143,595.9075700532771,4302.686819052102,3.964515167990312,
WBR_TRD,-0.39856228613412187,173.0506201751767,-0.002303154335596503,0.9981653118911277,-339.88926894576116,339.09214437349294,3.213912868155979,
Intercept,-105.87833016646475,18919.446391258523,-0.005596269995267114,0.9955420420363947,-37222.04826053365,37010.29160020072,,
