Period,TAS_SPD__APL_0.70|0.6|0,DEP_ALL__PVAL_4|4,LTV_30B_17__PVAL_3|5,LTV_30B_18__PVAL_3|5,LTV_30B_19__PVAL_3|5,MAS_SPD__PVAL_5|3,SUP_VID__PVAL_3|5,IRI_pctTD__PVAL_3|3#LAG_2,IRI_BAS_PRC_1500ML__RA_7,IRI_BAS_PRC_750ML__RA_5,HOL_CHR_NEW,HOL_LAB,HOL_MEM,HOL_MOT,HOL_NWY,HOL_THK,HOL_VAT,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_TRD_DESEA,IRI_WBR,IRI_pctAT,IRI_pctFD,IRI_pctTA,IRI_pctTF,SEA_IRI_CORE_1,WBR_TRD,Intercept,Predicted,IRI_EVO
06/11/2016,3.6681185362727415,111.66990519393437,0.0,0.0,0.0,8.499059540714606,0.0,0.0,-85.42737398691719,-96.33488256615115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.79965085674601,0.0,273.8218924882921,5.606428950623127,247.28982852150565,0.1458862844742641,423.4977509629779,0.8343877163759508,1122.8959532974354,-10.978692126415504,-8.963176435945577,2117.024737233923,2243.793605
06/18/2016,5.043275747460334,135.9607828996044,0.0,0.0,0.0,8.915694838015881,0.0,0.0,-85.26277343026412,-96.3099936370053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.75815022651493,0.0,276.1990562737711,5.907863815750134,224.24769067481773,0.0,423.419339908495,0.3540614265346464,1148.3848739425753,-10.975293802988574,-8.963176435945577,2136.6795524473355,2245.777396
06/25/2016,5.870969584761295,141.24463049116002,0.0,0.0,0.0,8.936118858054364,0.0,71.74818835809863,-85.18333975673175,-96.20359653901002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.39126236555057,0.0,275.84936889898876,5.637017578699098,225.65673346440158,0.6356990654592132,423.69338374793887,11.775453458051006,1137.9018811418005,-10.978413635052947,-8.963176435945577,2201.0121806462234,2173.301105
07/02/2016,6.6768385895200035,139.74129150307363,0.0,0.0,0.0,8.844581139915613,0.0,117.97031941246686,-84.93700184394861,-95.83720824530678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.49977171469838,0.0,276.7982310269273,5.98619013445178,246.90635538838623,2.9352721043329852,423.4191905053208,0.8597964441633051,1240.0164759701872,-10.986049731287517,-8.963176435945577,2358.930877676956,2334.275755
07/09/2016,7.820376315657657,131.66478941285638,0.0,0.0,0.0,8.19640150928713,0.0,154.28981852396987,-84.5424161666432,-95.69316985110996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.19684933701669,0.0,277.15706946660754,5.817513985722167,237.10780862755306,0.0,423.21603206904217,0.23970338581371703,1133.7908003284476,-10.967852827387484,-8.963176435945577,2263.330547680888,2185.159446
07/16/2016,8.558201144435275,129.33768934348979,0.0,0.0,0.0,7.994285041285304,0.0,174.76207287169646,-84.21454409043545,-95.58903649699218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.99838709244229,0.0,269.11886016958954,6.042690097115167,264.64680788504035,1.2306447404360947,423.579871484843,259.44793770066406,1183.5263660833746,-10.990544352195602,-8.963176435945577,2610.4865122788433,2308.322139
07/23/2016,9.050316376474289,128.66717751311745,0.0,0.0,0.0,7.931260754566943,0.0,172.76914067196685,-83.83284971625366,-95.44452634909592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.70800158035951,0.0,277.8405030796277,6.242247967802859,284.05575729319554,0.0,423.4635120241131,14.650383450749965,1202.5822728819833,-10.990197507877681,-8.963176435945577,2421.7298235847843,2301.029333
07/30/2016,9.384420219415368,128.4739814614372,0.0,0.0,0.0,7.911608407179093,0.0,184.02722354397903,-83.5669218183318,-95.57669359392509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.84508583355199,0.0,281.9106834210724,6.088058303929825,288.51790150356817,60.062434691114184,423.20453656195286,420.495575991655,1237.1053223748875,-10.994252638055004,-8.963176435945577,2963.9257878274852,2484.008784
08/06/2016,8.208866453695665,137.5088324267237,0.0,0.0,0.0,7.993200908328907,0.0,193.62442616281982,-83.43339637801695,-96.25115427893685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.99357478699373,0.0,281.3553095832717,6.194295108160345,292.16410843074334,0.41225692144249304,423.2813682114513,10.931119932422988,1246.9851199183797,-10.982742287476523,-8.963176435945577,2519.0220094640576,2427.204024
08/13/2016,7.044042236436383,140.84703768303692,0.0,0.0,0.0,8.03038522660878,0.0,203.1201805941703,-83.59402448461063,-96.87593404843619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.90985350555441,0.0,280.9792671026198,6.02251698097168,290.6385416758859,0.0,423.2952200200308,2.0808884836662975,1269.2276939228639,-10.977230543673706,-8.963176435945577,2532.785261919179,2365.857842
08/20/2016,6.145754276888123,141.58956797308525,0.0,0.0,0.0,8.040967699362097,0.0,199.1570134512843,-83.88177428600277,-97.38503140121873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5843532419451,0.0,273.8715774765225,5.993332299065893,276.3339253049696,0.0,423.2008868558402,2.536397164572021,1240.9774982880233,-10.99189330163454,-8.963176435945577,2469.2093986067566,2366.213886
08/27/2016,5.461035426504345,141.75473179304188,0.0,0.0,0.0,8.043979381351313,0.0,196.95754449034368,-84.18787792912937,-97.61283647106187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.50979318537124,0.0,278.1392761677709,6.72608343796914,229.14027204994096,0.0,423.2902982526065,8.318280779193813,1186.781671501821,-10.986387631196093,-8.963176435945577,2361.372687998582,2262.401671
