Period,TAS_SPD__APL_0.85|0.6|0,DEP_ALL__PVAL_3|3,LTV_30B_17__PVAL_3|5,LTV_30B_18__PVAL_4|5,LTV_30B_19__PVAL_4|5,MAS_SPD__PVAL_5|3,SUP_VID__PVAL_3|5,IRI_pctTD__PVAL_5|3#LAG_2,IRI_BAS_PRC_1500ML__RA_5,IRI_BAS_PRC_750ML__RA_5,HOL_CHR_NEW,HOL_LAB,HOL_MEM,HOL_MOT,HOL_NWY,HOL_THK,HOL_VAT,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_TRD_DESEA,IRI_WBR,IRI_pctAT,IRI_pctFD,IRI_pctTA,IRI_pctTF,SEA_IRI_CORE_1,WBR_TRD,Intercept,Predicted,IRI_EVO
06/11/2016,0.998007150850345,31.571593864675783,0.0,0.0,0.0,3.531540433731983,0.0,0.0,-13.130637303561752,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14044435932625002,0.0,0.0,0.0,122.73186611356402,0.0,331.1668138988044,-0.0,-84.26361889910791,392.7460096182831,1.106693
06/18/2016,1.4435661510640254,46.29641513420348,0.0,0.0,0.0,3.7046612821612532,0.0,0.0,-19.681790905372697,-7.9282457083833755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15730484310452864,0.0,0.0,0.0,0.0,0.0,328.51188150228717,-3.3139484642739157,-84.26361889910791,264.9262249356826,0.0
06/25/2016,1.759328277546571,53.16399256227518,0.0,0.0,0.0,3.713147897914411,0.0,0.0,-24.046754836923412,-13.005614503178112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08019758028056859,0.0,0.0,0.0,0.0,0.0,322.4313284400884,-3.140571699371449,-84.26361889910791,256.69143481952426,0.0
07/02/2016,2.0677448579206237,55.45166865193336,0.0,0.0,0.0,3.6751120245016007,0.0,0.0,-24.49551080031611,-19.654238412896564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.476988867941238,0.0,0.04954664580773463,2.0315971046531462,0.0,0.0,155.51149819966344,0.0,355.90511938501885,-4.076528903572628,-84.26361889910791,444.67937872154687,99.644359
07/09/2016,2.458823824833596,54.2238632044327,0.0,0.0,0.0,3.4057795691963766,0.0,0.0,-32.81341109760914,-26.556902130870156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.039727618728682,0.0,26.030399092546915,3.00511566295822,0.0,0.0,177.61592649400401,49.35562411637835,454.47333578976884,-4.567014606389751,-84.26361889910791,628.4076486388708,718.31876
07/16/2016,2.761066386162427,53.56480259965128,0.0,0.0,0.0,3.3217958677465655,0.0,3.67493653370016,-41.10094673615605,-33.51325472625473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.543662605157962,0.0,127.33722246695845,3.0025324290932773,87.24580964627953,0.0,177.6696662647976,71.28342635879841,454.5744731718023,-4.568197794472781,-84.26361889910791,825.5333761741566,733.478718
07/23/2016,3.0015630531098347,53.211033071084906,0.0,0.0,0.0,3.2956079329772217,0.0,8.431375803523506,-41.51236956123772,-33.89550013160414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3861182468105573,0.0,130.07310271660506,3.3839600323895067,49.797586992394095,0.0,177.89058250293985,0.0,437.1347264393769,-4.568112066802313,-84.26361889910791,703.3660561324593,613.7036
07/30/2016,3.196294129402258,53.02113637379581,0.0,0.0,0.0,3.2874419636619736,0.0,28.858376156197743,-41.47937930543361,-33.941421853386395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.401977493327294,0.0,122.28293341706919,2.972243549240075,90.53111578321642,12.58290081741474,177.802647301404,110.46751018633275,445.986147695986,-4.5676370916387485,-84.26361889910791,900.1386677174817,673.836545
08/06/2016,3.037978623368067,55.626217053105826,0.0,0.0,0.0,3.321345387390155,0.0,28.498264173340548,-41.42463699668585,-33.999777862059744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.046540118970114,0.0,122.47175539084817,3.182959308248555,38.27485710024103,8.072417384818731,177.77861807980133,36.76702705891633,451.8268288836577,-4.567997504291725,-84.26361889910791,766.6487773005614,649.597043
08/13/2016,2.8420479636004283,57.277541342036365,0.0,0.0,0.0,3.3367962643815514,0.0,38.8592004794154,-41.25546013931473,-33.68355294995815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9329636774858487,0.0,121.20504235590505,3.153819372875926,57.839726377500554,0.0,177.47820982368282,2.589842650156956,448.3852916529224,-4.5683729969720215,-84.26361889910791,751.1294769746105,615.386644
08/20/2016,2.6681364806142662,58.05635423126642,0.0,0.0,0.0,3.3411935074221693,0.0,43.713375599174924,-41.07266655607132,-33.29585589946152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0940165303123948,0.0,120.57383811573492,3.4964057545491127,53.14432089134679,0.0,177.70519784635349,2.1158880812428555,468.25351669766684,-4.568161282527843,-84.26361889910791,772.9619410985156,610.639578
08/27/2016,2.5141406247100657,58.42366577219025,0.0,0.0,0.0,3.342444925495841,0.0,51.94088062139622,-40.825368457881936,-33.10141775458504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.37669286137845,0.0,119.17832822621041,3.1144754230365113,245.64569508855703,0.0,177.52901758525132,0.0,453.8130030715807,-4.56810557782086,-84.26361889910791,988.119833510411,664.761446
