Period,TAS_SPD__APL_0.70|0.6|0,DEP_ALL__PVAL_5|3,LTV_30B_17__PVAL_3|5,LTV_30B_18__PVAL_3|5,LTV_30B_19__PVAL_3|5,MAS_SPD__PVAL_3|3,SUP_VID__PVAL_3|5,IRI_pctTD__PVAL_5|5#LAG_2,IRI_BAS_PRC_1500ML__RA_7,IRI_BAS_PRC_750ML__RA_5,HOL_CHR_NEW,HOL_LAB,HOL_MEM,HOL_MOT,HOL_NWY,HOL_THK,HOL_VAT,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_TRD_DESEA,IRI_WBR,IRI_pctAT,IRI_pctFD,IRI_pctTA,IRI_pctTF,SEA_IRI_CORE_1,WBR_TRD,Intercept,Predicted,IRI_EVO
06/11/2016,1.483550576651926,51.30492798948029,0.0,0.0,0.0,3.047798891177664,0.0,0.0,-35.94929223524321,-28.624100460323675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166432982055903,67.15651920557075,117.62734754956861,3.1610431633257523,68.84456540064252,0.0,172.073798439214,0.0,447.0529614840523,-4.458257792374297,-49.31730363441944,814.3202018755287,838.086068
06/18/2016,2.0397254258206265,56.44411009051963,0.0,0.0,0.0,4.236718256712904,0.0,0.0,-35.94968896644797,-28.56604425370932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.660490378597373,72.88794819059389,120.29927383859821,3.1214649806518113,78.59505139236178,0.0,171.7119909423943,0.0,458.808494269839,-4.456448142548853,-49.31730363441944,855.515782768964,900.309821
06/25/2016,2.374481693230351,56.95889922090201,0.0,0.0,0.0,4.700505136724482,0.0,92.46714834842584,-35.863904772659566,-28.59870136214595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.057787560473268,72.25770115828831,123.08060257401482,3.163643260922333,74.95087541079754,0.0,171.375627301498,0.0,447.6261983296435,-4.466053695646742,-49.31730363441944,934.7675065300488,871.322013
07/02/2016,2.700411025909583,56.685073336301045,0.0,0.0,0.0,4.708348540396065,0.0,103.8844856514427,-35.819431291258965,-28.663463439206673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.757167016944806,70.1042212951239,121.13091112971107,3.3119700344104337,72.17684101208405,0.0,172.0264301449468,0.0,517.4390831077532,-4.462726110491977,-49.31730363441944,1013.6620178196465,1054.959525
07/09/2016,3.162908635040447,55.55332444552002,0.0,0.0,0.0,4.165846605772305,0.0,108.24550912448505,-35.64886130536838,-28.87512461511867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.915141630208563,74.38644256434421,125.48029565009297,3.0882048500213886,73.18438300930924,0.0,171.84156683642593,0.0,519.8194585752166,-4.464259389798014,-49.31730363441944,1030.5375329817323,963.549199
07/16/2016,3.4613178711043915,55.35441525044765,0.0,0.0,0.0,3.82976275801218,0.0,108.37358208879036,-35.545887341702034,-28.949779866357723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.93758468077104,25.255337114471452,115.13538149821056,2.7979232004039645,77.3782596851242,0.0,172.04176536535508,0.0,618.1037154672687,-4.466574004081709,-49.31730363441944,1141.3895001333985,1071.986965
07/23/2016,3.6603511981496304,55.31945656228298,0.0,0.0,0.0,3.6215564032010024,0.0,105.58049034344496,-35.42161249698461,-29.050803614233537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.47007705370676,17.606402603254985,117.90935333117129,2.9899667146121383,81.35730976056564,0.0,171.88690754650747,2.678650502393528,639.8362672178108,-4.464328728468309,-49.31730363441944,1175.6627407629953,1060.152256
07/30/2016,3.795477678920482,55.31331207605668,0.0,0.0,0.0,3.4925710207054506,0.0,63.70451833060138,-35.268205453408704,-28.93858419613493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.93118855563178,5.266221553498201,117.37685538927141,3.08229904568067,79.33007040615567,0.025662971765226583,172.0967030775591,3.5636862719285687,660.6308885781906,-4.465617443574022,-49.31730363441944,1129.619744228428,1051.657226
08/06/2016,3.320031356841992,56.58977845467026,0.0,0.0,0.0,3.4648934447440967,0.0,42.955450918790014,-34.54775290523261,-28.72743446356693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.47919250997154,3.5037697449624887,114.95325595516928,2.871232777442026,83.02520827157801,0.0,172.07937817173502,2.375689409820181,683.2870428845417,-4.4606984688340505,-49.31730363441944,1132.8517344282136,1128.299538
08/13/2016,2.848924542238047,56.886550191821186,0.0,0.0,0.0,3.45674020082782,0.0,35.599495257271634,-33.874168269444446,-28.382462902205948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.99744370335519,33.946474902277515,116.54242367610765,2.7526823892925596,77.00272446400339,0.0,171.93720610475063,2.432359910805072,573.0779172398319,-4.468359720882245,-49.31730363441944,1039.4386480556304,1112.008202
08/20/2016,2.485616866324868,56.91763472136483,0.0,0.0,0.0,3.451803274516635,0.0,32.427525864375916,-33.251300123589594,-28.241205964493005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.72191580746573,41.49301554602312,119.66604724577913,2.606407147219502,78.53143149030754,1.6318598549664591,172.08921117983326,4.364430533775931,579.6488627153401,-4.468842228558246,-49.31730363441944,1057.7571102962327,1124.778801
08/27/2016,2.2086860541697377,56.92089066318462,0.0,0.0,0.0,3.448813871840452,0.0,89.52240048149285,-32.669446914619,-28.067675804516075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.831146917218095,37.97812352238141,120.94198533451264,2.630882079710939,71.70137957586762,0.0,171.7755247846632,8.716974905237764,538.7784348397024,-4.460813034211228,-49.31730363441944,995.940003642216,1033.975041
