id,Period,Product,Channel,DMA,Geography,IRI_EVO,IRI_pctTD_OLD,IRI_pctTF_OLD,IRI_pctFD_OLD,IRI_pctAT_OLD,IRI_TDpct,IRI_TFpct,IRI_FDpct,IRI_ATpct,IRI_BVO,IRI_BEV,IRI_DVO,IRI_pctTA,BRF_DVO,BER_DVO,BBX_DVO,BOT_DVO,SHH_DVO,WBR_DVO,BRF_TRD,BER_TRD,BBX_TRD,BOT_TRD,SHH_TRD,WBR_TRD,IRI_BAV,IRI_BRF,IRI_BER,IRI_BBX,IRI_BOT,IRI_SHH,IRI_WBR,IRI_PRC,IBT_RDM,FBT_IMP,IGP_IMP,ANP_IMP,OSF_IMP,OSI_ENG,PRP_TIM,INF_IMP,SKU_CNT_CORE,SKU_CNT_NONCORE,USS_NSA,USS_SSA,CCI_IDX,UMP_RTE,HOL_THK,HOL_CHR,HOL_EAS,HOL_FAT,HOL_LAB,HOL_MOT,HOL_NWY,HOL_VAT,HOL_MEM,HOL_IND,JOS_WAB,JOS_WWA,JOS_RWA,CHD_PCO,PRD_NSU,NPD_NSV,PRD_NSV,NPD_NSD,PRD_NSD,NPD_VOD,NPD_SBD,NPD_SBV,PRD_SBV,PRD_TVV,NPD_BDD,NPD_ADD,PRD_ADD,NPD_BRD,NPD_NBC,PRD_AFD,NPD_ADV,PRD_ADV,NPD_PTD,NPD_HDV,PRD_ACD,NSU_VID,NSU_DIS,SUP_VID,ADD_DIS,ADV_VID,NPD_VID,LTV_30B,NTV_15C,PRD_VID,NPD_DIS,CPR_SPD_OLD,DEP_SPD,NTV_15N,NTV_30C,MAS_SPD_OLD,MAS_SPD_OLD_1,POS_SPD_OLD,CPN_PRC,RBT_TCN,PRD_DIS,VID_PNP,BRD_IMP,IHR_IMP,PRI_SPD,TAS_SPD_OLD,EXM_ATT,SNF_AVG,NTV_30N,AVG_TMP,SPA_SPD_OLD,SFB_DIM,DIS_PNP,SFB_MIM,TVS_SPD,TVS_SPD_17,TVS_SPD_18,TVS_SPD_19,SIG_IMP,DEP_ALL_OLD,DEP_ALL_OLD_1,IGP_PSC,NPD_NSU,FBK_PSC,NSU_TVV,PRD_VOD,NSU_VOD,PRD_SBD,SUP_DIS,NPD_TVV,SUP_TVV,PRD_BDD,BDD_DIS,PRD_BRD,BRD_DIS,PRD_NBC,NBC_VID,NPD_AFD,AFD_VID,PRD_PTD,PTD_VID,PRD_HDV,HDV_VID,NPD_ACD,ACD_VID,IRI_NCV,IRI_TRD,TEN_SSL,IND_SSL,SEA_IRI_CORE,SEA_IRI_CORE_1,SSH_TRD,HOL_CHR_NEW,IRI_TRD_DESEA,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_BAS_PRC_1500ML,IRI_BAS_PRC_750ML,SEA_IRI_TRD,SEA_IRI_TRD_CORE,SEA_YT_CORE,SEA_YT_CORE_DESEA,IRI_pctTD,IRI_pctTF,IRI_pctFD,IRI_pctAT,CPR_SPD,DEP_ALL,MAS_SPD,POS_SPD,SPA_SPD,TAS_SPD,SKU_CNT_NONCORE_CAN,LTV_30B_17,LTV_30B_18,LTV_30B_19,SPA_SPD_NEW
625,06/11/2016,P1,Channel2,DMA3,IRI_Louisiana - Multi Outlet,982.472809,46.662516,6.219755,0.116766,19.009068,35.814792,2.741749,0,9.782375,55872.64468,837.167754,64523.79951,99.803172,126328.1419,58461.13589,47668.75626,24623.35562,121626.6681,152154.4338,95.642632,97.5185,94.176571,72.929605,100,99.963927,0.015960217,128.5818201,59.50407521,48.51916088,25.06263319,123.7964726,154.8688498,65.67489598,2282,719096,0,0,0,87,225029,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,39,67,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,71.82,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,719096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.263543,585177.8086,0,0,0.952682264,0.952682264,100,0,10027.09836,0.012351948,0.027392291,64.90262322,70.33604818,0.966129518,0.966129518,0.910571984,0.955798191,46.662516,6.219755,0.116766,19.009068,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
626,06/18/2016,P1,Channel2,DMA3,IRI_Louisiana - Multi Outlet,1142.889946,47.359167,23.394617,1.011295,36.030135,21.594582,10.566147,0.209493,27.881627,56725.79303,864.717856,73209.97568,99.742721,124816.0686,60735.93083,45486.01636,22533.77713,120118.0496,149117.4026,95.906359,97.772135,95.131379,72.188293,100,100,0.02352821,109.2109254,53.14241414,39.79912197,19.71648907,105.1002767,130.4739823,64.05689011,1906,0,0,0,0,0,0,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,0,67,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,72.12,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.185212,593163.2594,0,0,0.991613796,0.991613796,100,0,10084.69485,0.016423788,0.038090311,63.75718904,69.40525026,0.977196054,0.977196054,0.917672725,0.9254336,47.359167,23.394617,1.011295,36.030135,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
627,06/25/2016,P1,Channel2,DMA3,IRI_Louisiana - Multi Outlet,1017.724682,38.105586,15.680479,7.699552,31.817817,16.259294,12.664388,4.554538,9.823127,56659.65275,867.525852,65454.99353,99.710633,122690.5285,58016.53047,43566.52856,26648.70539,115495.4682,140215.3653,96.586291,96.843754,95.962651,74.430755,100,100,0.015261327,120.5537516,57.00611521,42.80777437,26.18459183,113.4840004,137.773376,64.31503007,1666,1718684,0,0,0,135,1306109,0,8,18,410863,405580,93.5,4.9,0,0,0,1,0,0,0,0,0,0,0,69,41,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,952198,0,0,0,7534.71,0,0,0,73.88,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,1718684,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,221.705897,583613.6166,0,0,0.983874385,0.983874385,100,0,10051.49703,0.006622388,0.031176722,64.11606575,67.8483437,0.965064973,0.965064973,0.900410342,0.915167989,38.105586,15.680479,7.699552,31.817817,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
628,07/02/2016,P1,Channel2,DMA3,IRI_Louisiana - Multi Outlet,1076.585084,61.355766,15.509278,25.650738,45.869085,28.027405,15.507582,8.388803,28.943773,53359.271,814.898513,68910.5868,99.507034,135536.7257,62497.27475,49861.69575,28849.26963,119653.8408,145534.0114,96.564991,97.456877,96.367459,77.078804,100,100,0.02246745,125.8950432,58.05140316,46.31468194,26.79701777,111.1420199,135.1811516,64.00849113,2031,825179,0,0,0,0,1306133,0,8,18,406853,404835,90,4.85,0,0,0,0,0,0,0,0,0,0,39,74,48,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,7193.17,550242.46,0,0,45590.83,45590.83,0,5563.98,1320.26,0,9943625,0,0,0,8895.48,0,0,0,75.92,25842.52,0,0,0,0,0,0,0,0,550242.4562,550242.4562,0,0,825179,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,258.112041,633502.3011,0,0,1.027297174,1.027297174,100,0,9759.68775,0.020338654,0.026618862,63.65930977,68.81522445,1.035756693,1.035756693,0.96655941,0.94087615,61.355766,15.509278,25.650738,45.869085,7193.17,550242.4562,45590.83,0,25842.52,8895.48,18,0,0,0,25842.52
629,07/09/2016,P1,Channel2,DMA3,IRI_Louisiana - Multi Outlet,1007.964377,53.174938,2.207715,0,38.409045,24.458928,0,0,40.644765,53410.84291,812.477516,64860.4149,99.326712,123909.5516,61585.28281,44651.88762,29986.48647,111602.0544,138323.066,96.3873,96.94612,96.598909,78.777539,100,99.854837,0.021149294,122.9304869,61.09866997,44.2990731,29.74954984,110.7202367,137.2301136,64.34792378,1065,588349,0,0,0,45,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,1,0,75,49,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,1395709,0,0,0,12297.39,0,0,0,74.31,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,588349,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,235.477411,587874.099,0,0,0.994713659,0.994713659,100,0,9703.584045,0.030177085,0.022440906,63.62652144,69.67038253,0.973118061,0.973118061,0.917675904,0.922552833,53.174938,2.207715,0,38.409045,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
630,07/16/2016,P1,Channel2,DMA3,IRI_Louisiana - Multi Outlet,1004.798647,56.02289,0.853887,0.163667,29.000855,29.964603,0.63677,0,21.066292,52926.21297,803.336583,65111.34865,99.239564,118224.4774,61240.49052,45468.1133,26876.35732,112344.1044,136954.7495,96.293122,96.83445,94.747426,74.332025,100,100,0.016432038,117.6598692,60.94802247,45.25096987,26.7480031,111.8075793,136.3006906,64.80039443,3,331839,0,0,0,0,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,66,46,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,111151,0,0,0,12297.39,0,0,0,76.8,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,331839,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,223.822867,576401.7823,0,0,0.968473314,0.968473314,100,0,9834.397017,0.012190802,0.016846588,63.93472681,69.22685596,0.941180273,0.941180273,0.953265426,0.98429705,56.02289,0.853887,0.163667,29.000855,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
631,07/23/2016,P1,Channel2,DMA3,IRI_Louisiana - Multi Outlet,1065.649102,46.033658,12.759904,6.374652,18.356382,16.566166,6.551656,5.347923,14.383314,57401.884,882.593227,68094.33821,99.29291,122550.5369,61065.80128,46473.1152,28007.27806,113035.1241,149629.5231,97.074991,97.144496,96.513753,79.742416,100,100,0.017503021,115.0008353,57.30385468,43.61014814,26.28189524,106.0716177,140.4116259,63.89939998,829,287466,0,0,0,182,4500,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,63,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,76.84,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,287466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.691376,585918.1961,0,0,0.997869728,0.997869728,100,0,9970.499057,0.014154259,0.018653876,63.36529268,68.61685431,0.954502434,0.954502434,0.950402006,0.952430943,46.033658,12.759904,6.374652,18.356382,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
632,07/30/2016,P1,Channel2,DMA3,IRI_Louisiana - Multi Outlet,1091.401116,48.440483,17.636872,9.050606,50.032683,23.300531,12.107414,5.505648,21.298544,54767.67765,842.80117,69125.90351,99.733658,122927.3135,58737.5236,50857.2878,27939.87137,112001.2826,132494.2603,95.290365,97.547419,96.434261,80.104566,100,100,0.025330824,112.6325708,53.8184566,46.59816364,25.60000257,102.6215577,121.3983185,63.33684518,3614,1675617,0,0,0,111,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,77,62,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,79.22,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,1675617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.285128,577536.8695,0,0,0.98384955,0.98384955,100,0,10327.6923,0.023342059,0.024320841,63.91250978,68.24164773,0.946638132,0.946638132,0.940651255,0.95609258,48.440483,17.636872,9.050606,50.032683,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
633,08/06/2016,P1,Channel2,DMA3,IRI_Louisiana - Multi Outlet,1003.202843,30.258386,5.844451,0,31.360483,9.805571,0.036926,0,14.626475,56214.56514,852.358675,64877.49331,99.624769,126872.4046,57578.13199,52130.05311,25131.55832,112190.669,142312.712,97.095144,97.722011,96.540181,77.366267,100,100,0.019429469,126.4673495,57.39430704,51.96362179,25.05132287,111.8324871,141.8583619,64.67036429,2603,406785,0,0,0,0,180558,0,8,18,417702,404897,89.8,4.85,0,0,0,0,0,0,0,0,0,0,0,60,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7742.58,562483.38,0,0,20251.87,20251.87,0,9158.29,1602.68,0,0,0,0,0,3608.25,0,0,0,78.4,73565.55,0,0,0,0,0,0,0,0,562483.3803,562483.3803,0,0,406785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.757297,592186.921,0,0,0.936833172,0.936833172,100,0,10055.26525,0.017121344,0.019396171,65.23534456,67.25933578,0.96104544,0.96104544,0.931182294,0.993968106,30.258386,5.844451,0,31.360483,7742.58,562483.3803,20251.87,0,73565.55,3608.25,18,0,0,0,73565.55
634,08/13/2016,P1,Channel2,DMA3,IRI_Louisiana - Multi Outlet,1025.138737,34.782809,4.012087,0.044938,36.553736,21.15611,2.663432,0,15.426834,58018.3246,876.201053,67006.85511,99.310514,137330.5544,62185.68639,53408.13599,31724.78365,121753.0627,141954.679,95.907526,97.088631,94.341532,73.879351,100,100,0.01286812,133.9628964,60.66075171,52.09844684,30.94681969,118.7674003,138.4736269,65.36369439,2421,1193880,0,0,0,79,0,0,8,18,417702,404897,89.8,4.9,0,0,0,0,0,0,0,0,0,0,0,55,40,0,1183532,349546,0,0,0,0,0,0,0,0,0,0,0,0,349546,1183532,0,0,0,0,0,349546,0,0,0,0,349546,0,0,1183532,0,6298.15,584006.71,0,0,20517.91,20517.91,0,9787.13,1688.81,0,1533078,0,0,0,2160.06,0,0,0,77.41,80252.97,0,0,0,0,0,0,0,0,584006.7145,584006.7145,0,0,1193880,1183532,0,0,0,0,0,0,0,0,0,0,0,349546,0,1183532,0,0,0,0,0,0,266.325508,580680.8623,0,0,0.933722103,0.933722103,100,0,10092.91221,0.006201605,0.023247634,65.53825246,67.71473438,0.956751593,0.956751593,0.93706138,1.003576307,34.782809,4.012087,0.044938,36.553736,6298.15,584006.7145,20517.91,0,80252.97,2160.06,18,0,0,0,80252.97
